data;ora;numestudent;prenumestudent;numeprofesor;prenumeprofesor;nota
'2016.17.01';'12.40.53';'Maulin';'Steve';'Powell';'Sherry';'10'
'2016.20.02';'08.47.59';'Taylor';'Sean';'Gassa';'Lewis';'5'
'2016.12.07';'04.06.43';'Alston';'Thomas';'Vogel';'Randy';'7'
'2018.02.03';'01.21.15';'Morgan';'Paul';'Kniefel';'Twila';'9'
'2013.17.05';'02.45.57';'Joyce';'Tom';'Carlson';'Jared';'6'
'2018.16.01';'16.26.17';'Fisher';'Ron';'Turnbull';'Porter DC';'8'
'2017.21.06';'20.55.12';'Pavlovski';'Kosta';'Ledbetter';'Tennie';'9'
'2014.21.04';'13.23.26';'Cano';'Laura';'Hawks';'Greg';'10'
'2017.11.01';'10.42.13';'Paen';'Alex';'Morrow';'Duncan';'9'
'2017.03.03';'11.53.41';'Pace';'Therin';'Dave';'Steven';'8'
'2016.23.10';'10.39.43';'Floires';'J C';'Singh';'Anardeep';'5'
'2016.15.03';'16.00.26';'Petrescu';'Nicole';'Vogl';'Frank';'5'
'2014.26.11';'20.18.29';'Bible';'Ross';'Nathan';'Larry';'5'
'2018.04.02';'15.14.47';'Taylor';'Donna';'Waggoner';'Wayne DC';'6'
'2014.04.06';'11.32.35';'Yoon';'Soon';'Thaxton';'Paul';'5'
'2015.03.09';'23.08.07';'Shearer';'Wayne';'Keller';'Hymie';'9'
'2017.10.04';'08.32.19';'Wheeler';'Robert L';'Loeks';'Faye';'7'
'2014.05.01';'15.23.54';'Orodeeca';'Hilario';'Pinkston';'Lisa';'9'
'2015.14.04';'12.43.50';'Westfall';'Charles';'Cook';'Steve';'7'
'2016.21.06';'04.51.51';'Alden';'Ken';'Usina';'Ralph';'10'
'2015.09.02';'13.35.32';'Wu';'Lucy';'Pompili';'Vince';'5'
'2016.27.05';'11.10.46';'Noor';'Nicholas';'Moore';'Kitty';'8'
'2014.29.04';'03.47.35';'Moreno';'Steban';'Nicolas';'Marie';'9'
'2016.18.06';'00.10.15';'Tecce';'Larry';'Hamilton';'David';'9'
'2016.18.11';'06.40.12';'Blanco';'Rene';'Usina';'Ralph';'8'
'2015.02.01';'22.45.00';'Myers';'Candy';'Hakes';'Vicki';'7'
'2014.13.12';'03.15.49';'Bell';'Twila';'Holder';'Mary';'10'
'2017.07.05';'19.05.07';'Esposito';'Kathy';'Walton';'David';'7'
'2014.16.11';'00.10.24';'Capria';'Michael';'Short';'John';'9'
'2016.17.06';'11.51.15';'Dailey';'Pamela';'Schmitz';'Rich';'6'
'2014.12.06';'00.15.50';'Hadix';'Bill';'Holder';'Mary';'4'
'2014.22.07';'10.12.49';'Krajcovic';'Tim';'Kempf';'Fred';'7'
'2016.29.12';'01.29.08';'Thiemann';'Steve';'Wakeley';'Gene';'6'
'2016.11.08';'09.00.46';'Nguyen';'John';'Vogl';'Frank';'8'
'2015.29.12';'08.45.22';'Taylor';'Travis L OD';'Holcombe';'Charles';'9'
'2013.21.05';'08.59.40';'Cutshall';'Wayne C';'Turnbull';'Porter DC';'7'
